model,train_fraction,run_idx,relation,relation_id,wave,reflexivity,symmetry,transitive,train_rows,valid_rows,test_rows,fit_time_s,predict_time_s,f1,precision,recall,accuracy,positive_rate_true,positive_rate_pred,tp,fp,fn,tn,average_precision,roc_auc
tabpfn,0.1,9,symmetric,A01,1,none,symmetric,0,250,250,2000,0.1544131119735539,0.4210758719127625,0.6666666666666666,0.5048395313295976,0.9811881188118812,0.5045,0.505,0.9815,991,972,19,18,0.49742298040209204,0.49474997499749973
tabicl,0.1,9,symmetric,A01,1,none,symmetric,0,250,250,2000,0.3259564150357619,0.148132169037126,0.6055118110236221,0.5026143790849673,0.7613861386138614,0.499,0.505,0.765,769,761,241,229,0.5000476823879714,0.49658365836583657
tabpfn,0.8,0,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.24546811799518764,0.38876491400878876,0.0,0.0,0.0,0.428,0.572,0.0,0,0,143,107,0.5913911139152693,0.5372524671590092
tabicl,0.8,0,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.5577401568880305,0.16755422903224826,0.19883040935672514,0.6071428571428571,0.11888111888111888,0.452,0.572,0.112,17,11,126,96,0.5937842653848965,0.5224821907064897
tabpfn,0.8,1,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.22691922297235578,0.3869336430216208,0.0,0.0,0.0,0.456,0.536,0.008,0,2,134,114,0.5276361232535702,0.48961013896037053
tabicl,0.8,1,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.34044585400260985,0.16479169996455312,0.4423963133640553,0.5783132530120482,0.3582089552238806,0.516,0.536,0.332,48,35,86,81,0.5637002116491304,0.5221950591868245
tabpfn,0.8,2,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.2353756979573518,0.38676478306297213,0.4715447154471545,0.5043478260869565,0.44274809160305345,0.48,0.524,0.46,58,57,73,62,0.5058157464218175,0.4792481878247482
tabicl,0.8,2,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.3336606629891321,0.16489145800005645,0.5151515151515151,0.5112781954887218,0.5190839694656488,0.488,0.524,0.532,68,65,63,54,0.5729079718742105,0.5105523125280647
tabpfn,0.8,3,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.22130744601599872,0.3882540670456365,0.0,0.0,0.0,0.464,0.536,0.0,0,0,134,116,0.565382838185697,0.508170355120947
tabicl,0.8,3,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.33260447590146214,0.16465214092750102,0.02877697841726619,0.4,0.014925373134328358,0.46,0.536,0.02,2,3,132,113,0.5425470296918598,0.5143463715903243
tabpfn,0.8,4,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.21899907500483096,0.3868846530094743,0.6559139784946236,0.488,1.0,0.488,0.488,1.0,122,128,0,0,0.5051499018326403,0.5203317110655739
tabicl,0.8,4,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.33099937497172505,0.16469666990451515,0.6382978723404256,0.5072463768115942,0.860655737704918,0.524,0.488,0.828,105,102,17,26,0.5270604410206378,0.5548155737704917
tabpfn,0.8,5,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.22700499300844967,0.3880147479940206,0.5684931506849316,0.46629213483146065,0.7280701754385965,0.496,0.456,0.712,83,95,31,41,0.4556987341088245,0.5060629514963881
tabicl,0.8,5,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.3313407120294869,0.16767515800893307,0.5132075471698113,0.4503311258278146,0.5964912280701754,0.484,0.456,0.604,68,83,46,53,0.43712296880237067,0.48703560371517024
tabpfn,0.8,6,antisymmetric,A02,1,none,antisymmetric,0,2000,250,250,0.21584681898821145,0.387883318006061,0.0,0.0,0.0,0.448,0.552,0.0,0,0,138,112,0.6324730081374975,0.553797877846791
