model,split_mode,train_fraction,run_idx,relation,relation_id,matrix_id,wave,reflexivity,symmetry,transitive,entity_count,anchor_entity_count,query_entity_count,transfer_matrix_count,transfer_train_rows,heldout_support_rows,support_pool_rows,evaluation_pool_rows,train_rows,valid_rows,test_rows,fit_time_s,predict_time_s,f1,precision,recall,accuracy,positive_rate_true,positive_rate_pred,tp,fp,fn,tn,average_precision,roc_auc
tabicl,leave_matrix_out_support,0.8,3,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4046586799668148,1.5733815520070493,0.626057529610829,0.511049723756906,0.8078602620087336,0.5088888888888888,0.5088888888888888,0.8044444444444444,185,177,44,44,0.5068290839757289,0.5089015787705744
tabpfn,leave_matrix_out_support,0.8,4,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1886147750774398,2.4217824100051075,0.6729559748427673,0.5390428211586902,0.895397489539749,0.5377777777777778,0.5311111111111111,0.8822222222222222,214,183,25,28,0.5272514618074067,0.4911459675980091
tabicl,leave_matrix_out_support,0.8,4,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4239377990597859,1.5791675250511616,0.6064981949458483,0.5333333333333333,0.702928870292887,0.5155555555555555,0.5311111111111111,0.7,168,147,71,64,0.5350860173859984,0.5064248745761368
tabpfn,leave_matrix_out_support,0.8,5,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1779822079697624,2.424233971047215,0.6307448494453248,0.48418491484184917,0.9045454545454545,0.4822222222222222,0.4888888888888889,0.9133333333333333,199,212,21,18,0.47270858815380185,0.4678260869565217
tabicl,leave_matrix_out_support,0.8,5,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.40843340300489217,1.5910139750922099,0.6468646864686468,0.5077720207253886,0.8909090909090909,0.5244444444444445,0.4888888888888889,0.8577777777777778,196,190,24,40,0.48436703132490744,0.5234486166007906
tabpfn,leave_matrix_out_support,0.8,6,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1863239799859002,2.43299662694335,0.6505295007564297,0.4875283446712018,0.9772727272727273,0.4866666666666667,0.4888888888888889,0.98,215,226,5,4,0.4727256911119095,0.4649209486166007
tabicl,leave_matrix_out_support,0.8,6,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.43430379102937877,1.3803278870182112,0.6143344709897611,0.4918032786885246,0.8181818181818182,0.49777777777777776,0.4888888888888889,0.8133333333333334,180,186,40,44,0.49856999088881115,0.5148221343873517
tabpfn,leave_matrix_out_support,0.8,7,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2559744840255007,2.430771285085939,0.633693972179289,0.47453703703703703,0.9534883720930233,0.47333333333333333,0.4777777777777778,0.96,205,227,10,8,0.46928613538947,0.4942404750123702
tabicl,leave_matrix_out_support,0.8,7,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4050839140545577,1.5641082240035757,0.6125211505922166,0.48138297872340424,0.8418604651162791,0.4911111111111111,0.4777777777777778,0.8355555555555556,181,195,34,40,0.4615369262838798,0.4774863928748145
tabpfn,leave_matrix_out_support,0.8,8,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1950779820326716,2.445819149026647,0.6455505279034691,0.47874720357941836,0.9907407407407407,0.4777777777777778,0.48,0.9933333333333333,214,233,2,1,0.4881793194843463,0.4935798512187401
